id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1035064769608371547,"Ocean Abode - 150m to shops, 1 king bed + Parking",265353658,Hannah,,Greater Geelong,-38.2671858,144.5271596,Entire home/apt,293.0,2,46,2024-12-27,3.63,1,228,45,
1035158882520813797,Breeze on the Terrace Apartment,108508863,Dale,,Greater Geelong,-38.2678644083673,144.5263310149312,Entire home/apt,539.0,2,9,2024-12-22,0.99,1,84,9,
1035643984358799931,3. Quad Suite Motel Marengo,159878976,Peter,,Colac Otway,-38.77887,143.66152,Private room,499.0,1,2,2024-04-01,0.16,13,4,2,
1035656398687525585,The Ply House Portarlington,8150564,Paul,,Greater Geelong,-38.11937,144.63221,Entire home/apt,343.0,2,50,2024-12-09,4.05,1,42,48,
1035755518453472330,SpringvalleyViews three bedrooms,56145397,Peter,,Surf Coast,-38.32854,144.31286,Entire home/apt,327.0,7,1,2024-01-16,0.09,4,8,1,
1035762939073852891,Inlet Cottage ID - AI223,98362024,Ji,,Surf Coast,-38.46548,144.10233,Entire home/apt,508.0,2,1,2024-03-10,0.1,113,14,1,
1035926737772134074,Portland Panorama,548790047,Stephen,,Glenelg,-38.29056,141.63669,Entire home/apt,95.0,7,11,2024-12-07,0.9,1,62,11,
1036070041901391322,Indented Heads Beach House,442170009,Lynda,,Greater Geelong,-38.13701,144.7029,Entire home/apt,815.0,2,2,2024-03-31,0.16,5,81,1,
1036293949105805154,Secluded coastal retreat!,520131580,Kristi,,Greater Geelong,-38.25862,144.509,Entire home/apt,146.0,1,39,2024-12-14,3.56,2,114,39,
1036506841776898751,She Oak I Pet Friendly I Second Living,98362024,Ji,,Surf Coast,-38.46441,144.07642,Entire home/apt,590.0,2,0,,,113,0,0,
1036594616419905149,Cosy coastal getaway,449009158,Beth,,Surf Coast,-38.34992,144.29709,Entire home/apt,386.0,4,7,2024-04-01,0.59,1,90,7,
1037263746023884184,"Dairymen's Cottage, Chatsworth House",471048268,Sarah,,Moyne,-37.84994,142.61537,Entire home/apt,375.0,1,4,2024-09-30,0.39,1,245,4,
1037457658927638492,Central Geelong Federation Home,37441046,Monique And Luke,,Greater Geelong,-38.15853,144.36443,Entire home/apt,310.0,1,20,2024-08-26,1.63,1,344,19,
1037977710374030265,West Addis I Longer Stays Welcome,29902659,Debbie Regional Escapes,,Greater Geelong,-38.14453,144.33807,Entire home/apt,438.0,2,13,2024-10-07,1.07,117,159,13,
1038006184571657505,Sandy Feet Beach Retreat,273161783,Julie,,Colac Otway,-38.74955695775189,143.66562891751528,Private room,538.0,2,33,2024-12-02,2.71,2,136,33,
1038154977046382680,Hamptons style beach house in Old OG,80140707,Katie,,Greater Geelong,-38.26197073908234,144.52808871301724,Entire home/apt,590.0,2,6,2024-06-09,0.49,1,205,6,
1038211831420684773,Ripplinn,293564639,Nicole,,Greater Geelong,-38.176140959688766,144.7065625846558,Entire home/apt,261.0,1,82,2024-12-24,6.51,1,333,80,
1038245057525252732,"2 x bed beach retreat Torquay, sauna, beach, golf",253565073,Claire,,Surf Coast,-38.3112265,144.3412924,Entire home/apt,379.0,3,11,2024-12-19,0.9,1,160,10,
1038590592086441616,Magnificent Merri Apartment,76461539,Louise,,Warrnambool,-38.3873304,142.4817078,Entire home/apt,390.0,2,20,2024-11-19,1.75,1,76,20,
1038618757709042884,The Dunes,98096620,Damian Allan,,Greater Geelong,-38.28585,144.6021,Entire home/apt,578.0,2,2,2024-06-10,0.19,102,157,2,
1038765730725699610,Golden Bouy,98096620,Damian Allan,,Queenscliffe,-38.28479,144.60595,Entire home/apt,460.0,2,0,,,102,150,0,
